node,betweenness,closeness,eigenvector
1847,0.007927028554307339,0.47493948777870115,0.06420205819819469
2678,0.000914824478324361,0.4461095786400986,0.03452216608320477
613,0.01071676359852003,0.4667716795073457,0.05099504984210278
350,0.000547450391118734,0.43144340390879476,0.02913910072682709
1353,0.010041775044540326,0.49307817589576547,0.0879324056467287
622,0.00310466420097786,0.47221642626316485,0.05948772477236863
451,0.001002943439769777,0.43704861556067487,0.03170868566283904
394,0.010125475226272553,0.4807710716664831,0.06617415007922216
577,2.6931501621877032e-05,0.4094755158647502,0.01610518209848698
440,0.0024019530994301586,0.4478662448976351,0.03707348493578448
65,0.001327737276308045,0.45236187197710004,0.043980370510750134
66,0.008634469241109279,0.4836919165733269,0.07606398822872237
2672,0.002555584449708738,0.4907480345262149,0.07369125675902363
2510,0.00021343034009750416,0.4143054092001887,0.01612288224645019
49,0.00348764614994642,0.4569486673118592,0.04703267079817317
1,0.003418698382701119,0.4717500857276492,0.05748723452398111
441,1.5966401363218878e-05,0.3718042783373425,0.006192539716695714
1042,9.196572778451945e-05,0.3897634928262219,0.011006481612409238
605,0.0007144264966216897,0.41947149350879664,0.021394026753926494
1465,0.014398272674614396,0.4838879019528136,0.07097789842966039
1409,0.034294683844027875,0.5172088965004521,0.11025184724480609
972,0.001851760973140235,0.4343463691651369,0.024987199502912685
2384,0.015301815397220163,0.5008326030696347,0.08670108190680416
2906,0.00041379789298869084,0.4164726563276526,0.018051380170212315
290,0.05150338940981393,0.5394016901623956,0.14181494088934815
1851,0.0004995774053548988,0.435852314605673,0.03698968913590978
2757,0.0007415882335829551,0.44124712433753704,0.035203946121754634
382,0.0006074214109309592,0.4521049941395207,0.0425089971665723
1149,0.026676445487490548,0.5086181184069608,0.0996975617294197
1238,0.00012845976743882376,0.40048133535195973,0.014885357821248536
930,0.00028123186295096677,0.39655830716239215,0.014055833722362786
2926,0.012826326010793837,0.4737149313841904,0.06105114531476482
848,0.00010386148445313177,0.3551629269946599,0.0036729259162047207
1228,2.125164754434071e-05,0.37366562641412515,0.00568720574715389
1784,0.0007343745121096021,0.4330077382231849,0.030063047652466007
2821,0.003083794748703338,0.45056983286909785,0.03987847456817165
431,0.0038441686217420192,0.48009460985710306,0.0626221722798406
1131,0.014302759886708157,0.4865493346993457,0.06724077025693612
2912,5.567354753947005e-05,0.39103973216095084,0.010660032574023837
942,0.0003699865572593618,0.46020629750271447,0.045437830314135015
344,0.003990526658264412,0.47446775606656494,0.06635229226390663
1017,0.00011332561729130705,0.3722098619353417,0.008257313734235106
2146,1.547138575542622e-05,0.3849267822786604,0.009597126682923762
2841,0.02829990597797642,0.5164260938462892,0.108423072735776
2653,0.00039251651763531377,0.39219551462053986,0.011662541238415904
2907,3.375102283529656e-05,0.3864214017212568,0.007678501363933848
1946,0.03096388539149992,0.513318436286071,0.10511987074955473
360,0.0021325952505263225,0.4487076242793703,0.04511954122183967
2106,0.0003500880702458852,0.4136596266087787,0.023965788845138235
2865,7.485361073433524e-05,0.4066174130131236,0.015255739260623699
1618,0.00011235644250407675,0.37250010668108047,0.0054774978739807285
2733,3.3527642968448124e-06,0.3684205898564072,0.005799348412338958
2599,3.8234149471204496e-06,0.3906559836504887,0.011605890736133414
83,0.004679042706110128,0.46207596905379916,0.05835213665186491
2623,8.069508024848405e-05,0.41466504931234166,0.018371487294366044
2689,1.5656517878957604e-05,0.37966470895550597,0.00769038505750414
943,0.004628863805882215,0.46823577416959183,0.05043671738226034
1176,0.0025238864033322174,0.4600290223495932,0.045283106079334695
2938,0.0021669057450608106,0.4727772533727411,0.061996791043536566
2530,0.012811434540748195,0.4885397185598462,0.07232175284209906
2264,0.001439121762901668,0.44862334410952065,0.038013439984013735
310,1.9441591015510467e-05,0.3736071772312041,0.008531709532436281
2149,0.0010891061478901039,0.4192506027802506,0.019281957117307916
2837,0.0012863774947502948,0.45486015692993487,0.04636230085166829
2164,2.224332130725061e-05,0.381849829582588,0.006937045641081802
1106,0.004122474297395514,0.4751284432144595,0.06208104043446755
2349,0.00679134249005086,0.4775986170844007,0.06504893893735401
1441,0.009889919379977954,0.4945073879998112,0.07882258555853064
1073,0.0002127978673605142,0.4105312279200907,0.017869667185218298
2290,0.008032647819775189,0.47109875424834086,0.05581351724462577
2042,6.12352069432153e-05,0.4025738553917222,0.01220392871513744
434,3.8871760508022816e-05,0.39316389860725726,0.011650973904596703
135,0.00014776404925946127,0.38227763829050704,0.008976802938415443
2944,1.3712464229913288e-05,0.3609597527639547,0.0034408712972465484
271,6.850178848505385e-05,0.3936174495779644,0.009911132596488896
2000,0.009120956539703238,0.46604306030030984,0.055318788555379125
2344,0.00010845933649817839,0.3795440464069741,0.008501333659291777
